movie_id,primary_title,original_title,start_year,runtime_minutes,genre1,genre2,genre3
tt0293429,Mortal Kombat,Mortal Kombat,2021,,Action,Adventure,Fantasy
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,Adventure,Comedy,Drama
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,Action,Crime,Drama
tt0369610,Jurassic World,Jurassic World,2015,124.0,Action,Adventure,Sci-Fi
tt0372538,Spy,Spy,2011,110.0,Action,Crime,Drama
tt3079380,Spy,Spy,2015,119.0,Action,Crime,Drama
tt0383010,The Three Stooges,The Three Stooges,2012,92.0,Documentary,,
tt5108902,The Three Stooges,The Three Stooges,2015,,Documentary,,
tt0385887,Motherless Brooklyn,Motherless Brooklyn,2019,,Crime,Drama,
tt0401729,John Carter,John Carter,2012,132.0,Action,Adventure,Sci-Fi
tt0419692,Disconnect,Disconnect,2010,112.0,Drama,Mystery,Sci-Fi
tt1433811,Disconnect,Disconnect,2012,115.0,Drama,Mystery,Sci-Fi
tt8413566,Disconnect,Disconnect,2018,107.0,Drama,Mystery,Sci-Fi
tt0431021,The Possession,The Possession,2012,92.0,Horror,Mystery,Thriller
tt0435651,The Giver,The Giver,2014,97.0,Drama,Romance,Sci-Fi
tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,Action,Adventure,Sci-Fi
tt0443272,Lincoln,Lincoln,2012,150.0,Biography,Drama,History
tt3784440,Lincoln,Lincoln,2014,17.0,Biography,Drama,History
tt0448115,Shazam!,Shazam!,2019,132.0,Action,Adventure,Comedy
tt0451279,Wonder Woman,Wonder Woman,2017,141.0,Action,Adventure,Fantasy
tt4028068,Wonder Woman,Wonder Woman,2014,60.0,Action,Adventure,Fantasy
tt4283448,Wonder Woman,Wonder Woman,2016,75.0,Action,Adventure,Fantasy
tt0453562,42,42,2013,128.0,Biography,Drama,Sport
tt0454876,Life of Pi,Life of Pi,2012,127.0,Adventure,Drama,Fantasy
tt0455944,The Equalizer,The Equalizer,2014,132.0,Action,Crime,Thriller
tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102.0,Crime,Thriller,
tt0470752,Ex Machina,Ex Machina,2014,108.0,Drama,Mystery,Sci-Fi
tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,Comedy,Drama,Music
tt0478970,Ant-Man,Ant-Man,2015,117.0,Action,Adventure,Comedy
tt0481499,The Croods,The Croods,2013,98.0,Action,Adventure,Animation
tt0485985,Red Tails,Red Tails,2012,125.0,Action,Adventure,Drama
tt0490215,Silence,Silence,2016,161.0,Biography,Documentary,
tt1731755,Silence,Hiljaisuus,2011,110.0,Biography,Documentary,
tt2275949,Silence,Silence,2012,87.0,Biography,Documentary,
tt2619946,Silence,Silence,2014,90.0,Biography,Documentary,
tt3181390,Silence,Silence,2012,7.0,Biography,Documentary,
tt3194744,Silence,Silence,2013,66.0,Biography,Documentary,
tt3425108,Silence,Silence,2013,120.0,Biography,Documentary,
tt5643994,Silence,Silence,2018,,Biography,Documentary,
tt6504712,Silence,Silence,2017,,Biography,Documentary,
tt8282116,Silence,Silence,2018,90.0,Biography,Documentary,
tt0491175,Suburbicon,Suburbicon,2017,105.0,Comedy,Crime,Drama
tt0491203,Tulip Fever,Tulip Fever,2017,105.0,Drama,History,Romance
tt0493405,CHIPS,CHIPS,2017,100.0,Action,Comedy,Crime
tt0498381,Rings,Rings,2017,102.0,Drama,Horror,Mystery
tt0763831,A Thousand Words,A Thousand Words,2012,91.0,Comedy,Drama,
tt0765446,Escape from Planet Earth,Escape from Planet Earth,2013,89.0,Adventure,Animation,Comedy
tt0770802,Samsara,Samsara,2011,102.0,Documentary,Music,
tt0770828,Man of Steel,Man of Steel,2013,143.0,Action,Adventure,Sci-Fi
tt0783640,The Last Full Measure,The Last Full Measure,2019,,Drama,War,
tt0787442,The Attack,The Attack,2012,102.0,Drama,Mystery,War
tt0787474,The Boxtrolls,The Boxtrolls,2014,96.0,Adventure,Animation,Comedy
tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108.0,Biography,Drama,
tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,Adventure,Comedy,Fantasy
tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117.0,Biography,Drama,
tt0790724,Jack Reacher,Jack Reacher,2012,130.0,Action,Crime,Thriller
tt0790736,R.I.P.D.,R.I.P.D.,2013,96.0,Action,Adventure,Comedy
tt0790770,Miles Ahead,Miles Ahead,2015,100.0,Biography,Drama,Music
tt0803096,Warcraft,Warcraft,2016,123.0,Action,Adventure,Fantasy
tt0804509,The Mule,La mula,2013,100.0,Crime,Drama,Thriller
tt2130270,The Mule,The Mule,2014,103.0,Crime,Drama,Thriller
tt7959026,The Mule,The Mule,2018,116.0,Crime,Drama,Thriller
tt0805647,The Witches,The Witches,2020,,Adventure,Comedy,Family
tt0810819,The Danish Girl,The Danish Girl,2015,119.0,Biography,Drama,Romance
tt0816442,The Book Thief,The Book Thief,2013,131.0,Drama,War,
tt0816692,Interstellar,Interstellar,2014,169.0,Adventure,Drama,Sci-Fi
tt0816711,World War Z,World War Z,2013,116.0,Action,Adventure,Horror
tt0829150,Dracula Untold,Dracula Untold,2014,92.0,Action,Drama,Fantasy
tt0831387,Godzilla,Godzilla,2014,123.0,Action,Adventure,Sci-Fi
tt0831881,Land,Land,2010,76.0,Documentary,,
tt2251399,Land,Land,2011,53.0,Documentary,,
tt3960820,Land,Land,2018,111.0,Documentary,,
tt0837562,Hotel Transylvania,Hotel Transylvania,2012,91.0,Animation,Comedy,Family
tt0837563,Pet Sematary,Pet Sematary,2019,101.0,Horror,Mystery,Thriller
tt0848228,The Avengers,The Avengers,2012,143.0,Action,Adventure,Sci-Fi
tt0848537,Epic,Epic,2013,102.0,Adventure,Animation,Family
tt0850709,Risen,Risen,2010,121.0,Action,Adventure,Drama
tt3231054,Risen,Risen,2016,107.0,Action,Adventure,Drama
tt0859635,Super Troopers 2,Super Troopers 2,2018,99.0,Comedy,Crime,Mystery
tt0864835,Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014,92.0,Adventure,Animation,Comedy
tt0870154,Jungle Cruise,Jungle Cruise,2020,,Adventure,,
tt0882977,Snitch,Snitch,2013,112.0,Action,Drama,Thriller
tt0884726,Legends of Oz: Dorothy's Return,Legends of Oz: Dorothy's Return,2013,88.0,Adventure,Animation,Family
tt0884732,The Wedding Ringer,The Wedding Ringer,2015,101.0,Comedy,,
tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169.0,Adventure,Family,Fantasy
tt0903657,Love & Mercy,Love & Mercy,2014,121.0,Biography,Drama,Music
tt0918940,The Legend of Tarzan,The Legend of Tarzan,2016,110.0,Action,Adventure,Drama
tt0938330,Silent Hill: Revelation,Silent Hill: Revelation,2012,95.0,Horror,,
tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,2012,136.0,Action,Adventure,Sci-Fi
